Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-07-12T01:00:05.251Z","","","Included","grok-4.5-fast-high","No","0","13154","553728","4905","571787","Included"
"2026-07-12T00:51:58.682Z","","","Free","grok-4.5-fast-high","No","0","104299","3662848","28279","3795426","Free"
"2026-07-12T00:51:03.518Z","","","Free","grok-4.5-fast-high","No","0","12166","122368","2391","136925","Free"
"2026-07-12T00:47:46.815Z","","","Free","grok-4.5-fast-high","No","0","41972","148096","3496","193564","Free"
"2026-07-12T00:47:07.279Z","","","Free","grok-4.5-fast-high","No","0","86378","337280","5928","429586","Free"
"2026-07-12T00:47:01.965Z","","","Free","grok-4.5-fast-high","No","0","74229","41728","2494","118451","Free"
"2026-07-12T00:34:51.547Z","","","Free","grok-4.5-fast-high","No","0","493846","7053824","38383","7586053","Free"
"2026-07-12T00:33:49.678Z","","","Free","grok-4.5-fast-high","No","0","177654","896","462","179012","Free"
"2026-07-11T23:25:53.724Z","","","Included","grok-4.5-fast-high","No","0","178018","2195968","5887","2379873","Included"
"2026-07-11T23:22:34.302Z","","","Included","grok-4.5-fast-high","No","0","6690","920960","1106","928756","Included"
"2026-07-11T23:21:41.710Z","","","Included","grok-4.5-fast-high","No","0","2331","151168","136","153635","Included"
"2026-07-11T23:08:04.133Z","","","Included","grok-4.5-fast-high","No","0","41023","206464","3989","251476","Included"
"2026-07-11T23:01:28.680Z","","","Included","grok-4.5-fast-high","No","0","56924","348800","5780","411504","Included"
"2026-07-11T23:01:26.654Z","","","Included","grok-4.5-fast-high","No","0","152025","4343808","12768","4508601","Included"
"2026-07-11T23:01:21.963Z","","","Errored, No Charge","grok-4.5-fast-high","No","","","","","","Free"
"2026-07-11T23:01:07.797Z","","","Included","grok-4.5-fast-high","No","0","1601","195584","640","197825","Included"
"2026-07-11T22:59:54.421Z","","","Included","grok-4.5-fast-high","No","0","9411","177024","524","186959","Included"
"2026-07-11T22:20:32.931Z","","","Included","grok-4.5-fast-high","No","0","324291","4640000","22328","4986619","Included"
"2026-07-11T22:19:57.394Z","","","Included","grok-4.5-fast-high","No","0","5108","659584","1076","665768","Included"
"2026-07-11T22:19:26.063Z","","","Included","grok-4.5-fast-high","No","0","57","218496","711","219264","Included"
"2026-07-11T22:19:14.069Z","","","Included","grok-4.5-fast-high","No","0","794","417152","296","418242","Included"
"2026-07-11T22:18:47.915Z","","","Included","grok-4.5-fast-high","No","0","333","208128","365","208826","Included"
"2026-07-11T22:17:01.652Z","","","Included","grok-4.5-fast-high","No","0","598","207616","191","208405","Included"
"2026-07-11T21:37:42.746Z","","","Included","grok-4.5-fast-high","No","0","46260","222464","5686","274410","Included"
"2026-07-11T21:37:32.999Z","","","Included","grok-4.5-fast-high","No","0","87011","9956992","35137","10079140","Included"
"2026-07-11T21:36:32.739Z","","","Included","grok-4.5-fast-high","No","0","124503","119296","1783","245582","Included"
"2026-07-11T21:20:33.481Z","","","Included","grok-4.5-fast-high","No","0","51994","257280","5272","314546","Included"
"2026-07-11T21:20:27.629Z","","","Included","grok-4.5-fast-high","No","0","183337","3553792","28367","3765496","Included"
"2026-07-11T21:18:58.636Z","","","Included","grok-4.5-fast-high","No","0","37708","208384","2453","248545","Included"
"2026-07-11T21:17:32.703Z","","","Included","grok-4.5-fast-high","No","0","11776","393600","664","406040","Included"
"2026-07-11T21:08:37.975Z","","","Included","grok-4.5-fast-high","No","0","22489","2163328","7379","2193196","Included"
"2026-07-11T21:07:39.242Z","","","Included","grok-4.5-fast-high","No","0","4287","204544","1643","210474","Included"
"2026-07-11T21:05:01.013Z","","","Included","grok-4.5-fast-high","No","0","16613","746624","3284","766521","Included"
"2026-07-11T20:46:16.088Z","","","Included","grok-4.5-fast-high","No","0","54341","2065024","18913","2138278","Included"
"2026-07-11T20:45:50.210Z","","","Included","grok-4.5-fast-high","No","0","2006","64000","477","66483","Included"
"2026-07-11T20:35:33.741Z","","","Included","grok-4.5-fast-high","No","0","70026","3298304","13475","3381805","Included"
"2026-07-11T20:33:47.759Z","","","Included","grok-4.5-fast-high","No","0","8341","382464","1042","391847","Included"
"2026-07-11T20:30:03.887Z","","","Included","grok-4.5-fast-high","No","0","75607","532608","9989","618204","Included"
"2026-07-11T20:21:40.867Z","","","Included","grok-4.5-fast-high","No","0","53782","504320","9251","567353","Included"
"2026-07-11T20:21:30.841Z","","","Included","grok-4.5-fast-high","No","0","18536","128","282","18946","Included"
"2026-07-11T20:21:14.023Z","","","Included","grok-4.5-fast-high","No","0","36577","3684480","9569","3730626","Included"
"2026-07-11T20:14:32.050Z","","","Included","grok-4.5-fast-high","No","0","85342","355328","5430","446100","Included"
"2026-07-11T20:14:31.996Z","","","Included","grok-4.5-fast-high","No","0","82372","329088","6678","418138","Included"
"2026-07-11T20:14:14.335Z","","","Included","grok-4.5-fast-high","No","0","155157","2600832","12941","2768930","Included"
"2026-07-11T19:56:46.542Z","","","Included","grok-4.5-fast-high","No","0","16187","1414016","6309","1436512","Included"
"2026-07-11T19:46:52.860Z","","","Included","grok-4.5-fast-high","No","0","128348","1213056","11550","1352954","Included"
"2026-07-11T19:44:46.542Z","","","Included","grok-4.5-fast-high","No","0","76021","247936","1876","325833","Included"
"2026-07-11T03:32:51.340Z","","","Included","auto","No","0","2354","226656","1187","230197","Included"
"2026-07-11T03:32:13.641Z","","","Included","auto","No","0","20807","263360","2258","286425","Included"
"2026-07-11T03:08:30.172Z","","","Included","auto","No","0","10844","173792","2054","186690","Included"
"2026-07-11T03:07:04.781Z","","","Included","auto","No","0","29826","259936","1722","291484","Included"
"2026-07-11T03:01:45.143Z","","","Included","composer-2.5-fast","No","0","84030","650157","23882","758069","Included"
"2026-07-11T03:01:35.863Z","","","Included","auto","No","0","27317","247904","4879","280100","Included"
"2026-07-11T02:59:22.479Z","","","Included","auto","No","0","37711","1067072","4286","1109069","Included"
"2026-07-11T02:54:19.040Z","","","Included","auto","No","0","20741","3928704","12891","3962336","Included"
"2026-07-11T02:49:59.934Z","","","Included","auto","No","0","12287","199968","804","213059","Included"
"2026-07-11T02:49:08.993Z","","","Included","auto","No","0","27583","223520","1544","252647","Included"
"2026-07-11T02:44:25.928Z","","","Included","auto","No","0","18323","2881312","13955","2913590","Included"
"2026-07-11T02:41:54.352Z","","","Included","auto","No","0","28741","683328","5853","717922","Included"
"2026-07-11T02:40:07.608Z","","","Included","auto","No","0","71644","1142944","6673","1221261","Included"
"2026-07-11T02:34:25.553Z","","","Included","grok-4.5-fast-high","No","0","59260","288512","5464","353236","Included"
"2026-07-11T02:34:25.030Z","","","Included","grok-4.5-fast-high","No","0","41413","182144","4065","227622","Included"
"2026-07-11T02:34:23.058Z","","","Included","auto","No","0","24040","138976","3319","166335","Included"
"2026-07-11T00:01:43.232Z","","","Included","auto","No","0","56201","4502326","16921","4575448","Included"
"2026-07-10T23:53:37.039Z","","","Included","auto","No","0","25046","1542224","9401","1576671","Included"
"2026-07-10T23:49:54.036Z","","","Included","grok-4.5-fast-high","No","0","110847","794368","7620","912835","Included"
"2026-07-10T23:49:53.393Z","","","Included","grok-4.5-fast-high","No","0","143634","953216","7294","1104144","Included"
"2026-07-10T23:49:52.761Z","","","Included","grok-4.5-fast-high","No","0","109105","932736","7758","1049599","Included"
"2026-07-10T23:49:49.958Z","","","Included","auto","No","0","88102","425940","5309","519351","Included"
"2026-07-10T18:52:20.536Z","","","Included","auto","No","0","172948","3309068","16250","3498266","Included"
"2026-07-10T18:51:58.336Z","","","Included","auto","No","0","241113","1902400","11525","2155038","Included"
"2026-07-10T03:36:49.703Z","","","Included","auto","No","0","41745","1932488","9658","1983891","Included"
"2026-07-10T03:35:54.479Z","","","Included","auto","No","0","1598","431811","543","433952","Included"
"2026-07-10T03:34:38.701Z","","","Included","auto","No","0","2495","315783","923","319201","Included"
"2026-07-10T03:24:15.096Z","","","Included","auto","No","0","98239","511929","1055","611223","Included"
"2026-07-10T03:10:15.127Z","","","Included","auto","No","0","6033","559050","2636","567719","Included"
"2026-07-10T03:01:25.266Z","","","Included","auto","No","0","8872","513739","3847","526458","Included"
"2026-07-10T02:57:20.318Z","","","Included","auto","No","0","72717","473147","2359","548223","Included"
"2026-07-10T02:49:48.602Z","","","Included","auto","No","0","63969","3300754","16611","3381334","Included"
"2026-07-10T02:47:54.343Z","","","Included","auto","No","0","3733","465394","1079","470206","Included"
"2026-07-10T02:44:36.622Z","","","Included","auto","No","0","2855","914950","1279","919084","Included"
"2026-07-10T02:40:54.427Z","","","Included","auto","No","0","2335","447952","1169","451456","Included"
"2026-07-10T02:39:58.914Z","","","Included","auto","No","0","11354","713081","2416","726851","Included"
"2026-07-10T02:37:15.395Z","","","Included","auto","No","0","6990","937442","2324","946756","Included"
"2026-07-10T02:23:57.382Z","","","Included","auto","No","0","20583","2169065","5836","2195484","Included"
"2026-07-10T02:23:05.582Z","","","Included","auto","No","0","1668","217205","346","219219","Included"
"2026-07-10T02:06:29.779Z","","","Included","auto","No","0","62179","4995967","16269","5074415","Included"
"2026-07-10T02:03:20.687Z","","","Included","auto","No","0","31379","2391537","7936","2430852","Included"
"2026-07-10T02:00:29.478Z","","","Included","auto","No","0","13862","1972245","4476","1990583","Included"
"2026-07-10T01:57:06.822Z","","","Included","auto","No","0","37609","2272271","6765","2316645","Included"
"2026-07-10T01:55:01.629Z","","","Included","auto","No","0","102041","611517","5884","719442","Included"
"2026-07-09T17:14:41.695Z","","","Included","composer-2.5-fast","No","0","103037","1675635","12530","1791202","Included"
"2026-07-09T17:14:34.149Z","","","Included","composer-2.5-fast","No","0","84325","981633","9904","1075862","Included"
"2026-07-09T17:14:27.423Z","","","Included","composer-2.5-fast","No","0","111651","2038398","12118","2162167","Included"
"2026-07-09T17:14:18.928Z","","","Included","composer-2.5-fast","No","0","102805","1416832","10362","1529999","Included"
"2026-07-09T17:13:19.584Z","","","Included","claude-opus-4-8-thinking-high","No","182379","32","1915600","42310","2140321","Included"
"2026-07-09T17:12:16.376Z","","","Included","claude-opus-4-8-thinking-high","No","72764","6","137086","839","210695","Included"
"2026-07-09T12:46:22.186Z","","","Included","auto","No","0","154214","2783","403","157400","Included"
"2026-07-09T12:44:07.378Z","","","Included","auto","No","0","16595","119131","1529","137255","Included"
"2026-07-09T12:39:59.902Z","","","Included","auto","No","0","167714","3","213","167930","Included"
"2026-07-09T12:27:18.865Z","","","Included","auto","No","0","21712","166272","1648","189632","Included"
"2026-07-09T12:24:27.792Z","","","Included","auto","No","0","27707","577024","3999","608730","Included"
"2026-07-09T12:23:54.589Z","","","Included","auto","No","0","167177","166337","359","333873","Included"
